row_type,brand_id,brand_name,brand_name_ko,status,catalog_category,brand_summary,brand_description,brand_accent,store_links,product_model,product_name,product_category,product_summary,product_tags,thumbnail_images,detail_images
product,BlueLee,BlueLee,블루리,판매중,40수 호텔 수건,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/8990034857?itemId=26332684440&vendorItemId=93316796899&sourceType=CATEGORY&categoryId=419409|소스=https://detail.1688.com/offer/574722842774.html?spm=a26352.b28411319/2508.0.0,BL-BT-001-N05,40수 수건 호텔 수건 세면 타올,40수 호텔 수건,"40수 수건 호텔 수건 세면 타올 / 40수 호텔 수건 / 그레이, 5개",final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-001-N05/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-001-N05/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-001-N05/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-001-N05/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-001-N05/details/01.png|assets/images/products/BlueLee/BL-BT-001-N05/details/02.png|assets/images/products/BlueLee/BL-BT-001-N05/details/03.png|assets/images/products/BlueLee/BL-BT-001-N05/details/04.png|assets/images/products/BlueLee/BL-BT-001-N05/details/05.png|assets/images/products/BlueLee/BL-BT-001-N05/details/06.png|assets/images/products/BlueLee/BL-BT-001-N05/details/07.png|assets/images/products/BlueLee/BL-BT-001-N05/details/08.png|assets/images/products/BlueLee/BL-BT-001-N05/details/09.png|assets/images/products/BlueLee/BL-BT-001-N05/details/10.png
product,BlueLee,BlueLee,블루리,판매중,샤워기홀더,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/7743832976?itemId=20841180385&vendorItemId=89966163786&sourceType=CATEGORY&categoryId=419410&traceId=mrrgktnu|소스=https://detail.1688.com/offer/1064036905225.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=1b5e3733a1d94a84b13857e58e993fa6&sessionid=7486c99b8fd5d7a8cb63fe0facec6773,BL-BT-001-SP,후크형 샤워기홀더,샤워기홀더,후크형 샤워기홀더 / 샤워기홀더 / 실버,final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-001-SP/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-001-SP/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-001-SP/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-001-SP/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-001-SP/details/01.png|assets/images/products/BlueLee/BL-BT-001-SP/details/02.png|assets/images/products/BlueLee/BL-BT-001-SP/details/03.png|assets/images/products/BlueLee/BL-BT-001-SP/details/04.png|assets/images/products/BlueLee/BL-BT-001-SP/details/05.png|assets/images/products/BlueLee/BL-BT-001-SP/details/06.png|assets/images/products/BlueLee/BL-BT-001-SP/details/07.png|assets/images/products/BlueLee/BL-BT-001-SP/details/08.png|assets/images/products/BlueLee/BL-BT-001-SP/details/09.png|assets/images/products/BlueLee/BL-BT-001-SP/details/10.png
product,BlueLee,BlueLee,블루리,판매중,드라이기 거치대 스탠드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/9219570810?itemId=27242930486&vendorItemId=93846784088&sourceType=CATEGORY&categoryId=419447&traceId=mrwxvx6f|소스=https://detail.1688.com/offer/603581345396.html?spm=a26352.b28411319/2508.0.0,BL-BT-002-WH,드라이기 거치대 스탠드,드라이기 거치대 스탠드,드라이기 거치대 스탠드 / 드라이기 거치대 스탠드 / 140cm,final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-002-WH/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-002-WH/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-002-WH/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-002-WH/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-002-WH/details/01.png|assets/images/products/BlueLee/BL-BT-002-WH/details/02.png|assets/images/products/BlueLee/BL-BT-002-WH/details/03.png|assets/images/products/BlueLee/BL-BT-002-WH/details/04.png|assets/images/products/BlueLee/BL-BT-002-WH/details/05.png|assets/images/products/BlueLee/BL-BT-002-WH/details/06.png|assets/images/products/BlueLee/BL-BT-002-WH/details/07.png|assets/images/products/BlueLee/BL-BT-002-WH/details/08.png|assets/images/products/BlueLee/BL-BT-002-WH/details/09.png|assets/images/products/BlueLee/BL-BT-002-WH/details/10.png
product,BlueLee,BlueLee,블루리,판매중,스텐 욕실 선반,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/9490952113?itemId=28266634156&vendorItemId=95219817777&sourceType=CATEGORY&categoryId=419452|소스=https://detail.1688.com/offer/1067217994175.html?spm=a26352.b28411319/2508.0.0,BL-BT-003-SV,스텐 욕실 선반,스텐 욕실 선반,스텐 욕실 선반 / 스텐 욕실 선반,final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-003-SV/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-003-SV/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-003-SV/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-003-SV/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-003-SV/details/01.png|assets/images/products/BlueLee/BL-BT-003-SV/details/02.png|assets/images/products/BlueLee/BL-BT-003-SV/details/03.png|assets/images/products/BlueLee/BL-BT-003-SV/details/04.png|assets/images/products/BlueLee/BL-BT-003-SV/details/05.png|assets/images/products/BlueLee/BL-BT-003-SV/details/06.png|assets/images/products/BlueLee/BL-BT-003-SV/details/07.png|assets/images/products/BlueLee/BL-BT-003-SV/details/08.png|assets/images/products/BlueLee/BL-BT-003-SV/details/09.png|assets/images/products/BlueLee/BL-BT-003-SV/details/10.png
product,BlueLee,BlueLee,블루리,판매중,선반 욕실 정리함,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/9195936489?itemId=27144425411&vendorItemId=94112300644&sourceType=CATEGORY&categoryId=419447|소스=https://detail.1688.com/offer/691958558629.html?spm=a26352.b28411319/2508.0.0,BL-BT-004-WH,선반 욕실 정리함,선반 욕실 정리함,선반 욕실 정리함 / 선반 욕실 정리함 / 화이트,final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-004-WH/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-004-WH/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-004-WH/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-004-WH/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-004-WH/details/01.png|assets/images/products/BlueLee/BL-BT-004-WH/details/02.png|assets/images/products/BlueLee/BL-BT-004-WH/details/03.png|assets/images/products/BlueLee/BL-BT-004-WH/details/04.png|assets/images/products/BlueLee/BL-BT-004-WH/details/05.png|assets/images/products/BlueLee/BL-BT-004-WH/details/06.png|assets/images/products/BlueLee/BL-BT-004-WH/details/07.png|assets/images/products/BlueLee/BL-BT-004-WH/details/08.png|assets/images/products/BlueLee/BL-BT-004-WH/details/09.png|assets/images/products/BlueLee/BL-BT-004-WH/details/10.png
product,BlueLee,BlueLee,블루리,판매중,청소솔,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/9146266073?itemId=26927057748&vendorItemId=93896779736&sourceType=CATEGORY&categoryId=419409&traceId=mrx17sxp|소스=https://detail.1688.com/offer/641208294804.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=6bfa496892e64483a6f1a7b78cb8f46f&sessionid=6b83010873ecacc37e6aba94fe79b7d9,BL-BT-005-WH,바닥부터 구석까지 청소솔,청소솔,바닥부터 구석까지 청소솔 / 청소솔 / 화이트,final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-005-WH/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-005-WH/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-005-WH/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-005-WH/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-005-WH/details/01.png|assets/images/products/BlueLee/BL-BT-005-WH/details/02.png|assets/images/products/BlueLee/BL-BT-005-WH/details/03.png|assets/images/products/BlueLee/BL-BT-005-WH/details/04.png|assets/images/products/BlueLee/BL-BT-005-WH/details/05.png|assets/images/products/BlueLee/BL-BT-005-WH/details/06.png|assets/images/products/BlueLee/BL-BT-005-WH/details/07.png|assets/images/products/BlueLee/BL-BT-005-WH/details/08.png|assets/images/products/BlueLee/BL-BT-005-WH/details/09.png|assets/images/products/BlueLee/BL-BT-005-WH/details/10.png
product,BlueLee,BlueLee,블루리,판매중,미끄럼방지 욕실화,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/6267699231?itemId=23626668580&vendorItemId=93933787446&sourceType=CATEGORY&categoryId=419409|소스=https://detail.1688.com/offer/1015842395730.html?spm=a26352.b28411319/2508.0.0,BL-BT-006-GR,미끄럼방지 욕실화,미끄럼방지 욕실화,"미끄럼방지 욕실화 / 미끄럼방지 욕실화 / 그레이, 280mm",final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-006-GR/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-006-GR/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-006-GR/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-006-GR/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-006-GR/details/01.png|assets/images/products/BlueLee/BL-BT-006-GR/details/02.png|assets/images/products/BlueLee/BL-BT-006-GR/details/03.png|assets/images/products/BlueLee/BL-BT-006-GR/details/04.png|assets/images/products/BlueLee/BL-BT-006-GR/details/05.png|assets/images/products/BlueLee/BL-BT-006-GR/details/06.png|assets/images/products/BlueLee/BL-BT-006-GR/details/07.png|assets/images/products/BlueLee/BL-BT-006-GR/details/08.png|assets/images/products/BlueLee/BL-BT-006-GR/details/09.png|assets/images/products/BlueLee/BL-BT-006-GR/details/10.png
product,BlueLee,BlueLee,블루리,판매중,아이스 쿨타올 스포츠타올,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/7349292400?itemId=18908240002&vendorItemId=86035753460&sourceType=CATEGORY&categoryId=419409|소스=https://detail.1688.com/offer/1056402175598.html?spm=a26352.b28411319/2508.0.0,BL-BT-007-BK,아이스 쿨타올 스포츠타올,아이스 쿨타올 스포츠타올,"아이스 쿨타올 스포츠타올 / 아이스 쿨타올 스포츠타올 / 블랙, 30X90",final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-007-BK/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-007-BK/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-007-BK/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-007-BK/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-007-BK/details/01.png|assets/images/products/BlueLee/BL-BT-007-BK/details/02.png|assets/images/products/BlueLee/BL-BT-007-BK/details/03.png|assets/images/products/BlueLee/BL-BT-007-BK/details/04.png|assets/images/products/BlueLee/BL-BT-007-BK/details/05.png|assets/images/products/BlueLee/BL-BT-007-BK/details/06.png|assets/images/products/BlueLee/BL-BT-007-BK/details/07.png|assets/images/products/BlueLee/BL-BT-007-BK/details/08.png|assets/images/products/BlueLee/BL-BT-007-BK/details/09.png|assets/images/products/BlueLee/BL-BT-007-BK/details/10.png
product,BlueLee,BlueLee,블루리,판매중,아이스 쿨타올 스포츠타올,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/7349292400?itemId=18908240002&vendorItemId=86035753460&sourceType=CATEGORY&categoryId=419409|소스=https://detail.1688.com/offer/784738408220.html?spm=a26352.b28411319/2508.0.00,BL-BT-008-BK,아이스 쿨타올 스포츠타올,아이스 쿨타올 스포츠타올,"아이스 쿨타올 스포츠타올 / 아이스 쿨타올 스포츠타올 / 블랙, 30X100",final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-008-BK/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-008-BK/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-008-BK/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-008-BK/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-008-BK/details/01.png|assets/images/products/BlueLee/BL-BT-008-BK/details/02.png|assets/images/products/BlueLee/BL-BT-008-BK/details/03.png|assets/images/products/BlueLee/BL-BT-008-BK/details/04.png|assets/images/products/BlueLee/BL-BT-008-BK/details/05.png|assets/images/products/BlueLee/BL-BT-008-BK/details/06.png|assets/images/products/BlueLee/BL-BT-008-BK/details/07.png|assets/images/products/BlueLee/BL-BT-008-BK/details/08.png|assets/images/products/BlueLee/BL-BT-008-BK/details/09.png|assets/images/products/BlueLee/BL-BT-008-BK/details/10.png
product,BlueLee,BlueLee,블루리,판매중,TPE 소재 미끄럼방지 매트,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,생활과 공간을 더 깔끔하게 만드는 실용 상품 브랜드,#2f7d77,쿠팡=https://www.coupang.com/vp/products/8127083225?itemId=23072705713&vendorItemId=89986106072&pickType=COU_PICK&q=%EB%88%84%EB%A9%94%EB%A1%9C+%EB%B0%9C%EB%A7%A4%ED%8A%B8&searchId=cd6b4b2f8454414&sourceType=search&itemsCount=60&searchRank=2&rank=2&traceId=mrx4ekbm|소스=https://detail.1688.com/offer/708663292963.html?spm=a26352.b28411319/2508.0.0,BL-BT-009-WH,TPE 소재 미끄럼방지 매트,TPE 소재 미끄럼방지 매트,"TPE 소재 미끄럼방지 매트 / TPE 소재 미끄럼방지 매트 / 화이트, 75X43",final-builder|상세페이지,assets/images/products/BlueLee/BL-BT-009-WH/thumbnails/01.png|assets/images/products/BlueLee/BL-BT-009-WH/thumbnails/02.png|assets/images/products/BlueLee/BL-BT-009-WH/thumbnails/03.png|assets/images/products/BlueLee/BL-BT-009-WH/thumbnails/04.png,assets/images/products/BlueLee/BL-BT-009-WH/details/01.png|assets/images/products/BlueLee/BL-BT-009-WH/details/02.png|assets/images/products/BlueLee/BL-BT-009-WH/details/03.png|assets/images/products/BlueLee/BL-BT-009-WH/details/04.png|assets/images/products/BlueLee/BL-BT-009-WH/details/05.png|assets/images/products/BlueLee/BL-BT-009-WH/details/06.png|assets/images/products/BlueLee/BL-BT-009-WH/details/07.png|assets/images/products/BlueLee/BL-BT-009-WH/details/08.png|assets/images/products/BlueLee/BL-BT-009-WH/details/09.png|assets/images/products/BlueLee/BL-BT-009-WH/details/10.png
